Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3132.62179827279,3442.74200302219,3434.56274492859,2924.10180677162,3293.23305430614
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1400.89926039107,1533.31598466695,1671.38538492515,1577.91174726099,1625.23501955454
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1479.86234930121,1594.05998970315,1538.68794663506,1539.13055856256,1666.93273443122
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,45129.4292980922,46548.6384108296,46328.6718408497,43258.2638715601,51987.9390529728
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,81258.0377580086,85234.8427208773,89871.9131394463,83329.4587744645,86568.7696368603
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,414.740286565386,435.932263645028,426.408762581226,435.469251582856,461.137490166508
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,662.897530045018,720.265046964353,701.621216594764,643.772221286329,685.690284124456
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,15045.5276791243,15795.7084630954,14631.9468779229,13094.4595313609,16265.0959767147
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8816.98690451883,9905.34200388822,10143.8381955585,10408.6697561349,12556.3331200058
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6450.31958548124,6782.03792033195,6438.06018290435,5307.21522798919,6104.1367093039
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1414.586566491,1531.33797185868,1510.79735809965,1519.58682298786,1577.47102705052
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,451.089098377617,546.212593877879,575.882790805511,524.666675441091,577.209215199828
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2088.50011733964,2512.38397871635,2288.80813763495,1838.44813852491,2290.38289133244
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12118.1334111458,12383.1499737386,12669.341068679,12132.8768848243,12472.4437294954
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2076.14799980549,2275.4959502948,2238.81100489009,2288.11949762033,2549.04129724734
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,13655.8159387619,15244.4310483476,15331.8830536722,14198.7539594744,17685.3252834553
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,8543.36096849045,8831.90722233737,9139.41585605765,9499.59020230432,..
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,18788.8072839326,18956.0979741907,19024.1771511889,16109.8617501685,17717.5964802588
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,26697.171875,29418.935546875,29417.138671875,28036.189453125,31551.81640625
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,20636.199952435,23424.4804601855,23664.8478631108,22992.8793833348,26821.2452279995
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,57610.0981801135,61591.9288698958,59592.9806886454,60915.4243995462,68007.7566732954
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2655.73321960188,2755.83829341814,2876.04366371536,2917.9962809563,3150.43672926335
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,7408.09130082314,7833.19501250117,8561.58701121461,7003.46989117043,7653.17187042868
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,7513.49134309925,7947.15820732109,8173.33800656006,7167.91915908327,8476.75215730978
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6246.40425217932,6321.34940071717,6233.25816692363,5645.19928965332,5965.13287054416
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2315.89662651245,2407.08654343598,2869.57658843903,3398.80143153083,3698.83498105861
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,3986.04901435439,4145.86235103186,4280.28840404719,3903.39583878605,4551.18466141298
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,8410.39725012272,8719.18621660567,7317.39018853546,6327.59901151363,7506.66752306086
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,20437.765376736,23165.8494786437,23424.4847073518,23595.2436836441,27943.701219882
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3824.04678338499,4020.27305022394,3843.3773913814,3372.89560064925,3978.4035281759
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,755.751767671957,758.299059582623,840.449451464836,918.652594077418,925.077428048534
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,59328.1747680852,62576.9899253899,63383.196148417,61980.2900239725,69010.3098011151
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5825.1292069741,6073.33638842434,5968.30055949885,4864.11704680273,4646.6127232145
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,46412.1364777169,49987.6261584968,48629.8582283032,49170.7521512441,53654.7502964259
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,38781.0494870836,41557.8548588876,40494.8982936276,39055.2829280754,43658.9789781222
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,19743.9549091166,20614.8988564664,20023.5047046924,18910.3801296387,19914.6035133645
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,6975.69579258695,7694.90604516325,7523.8622784598,6680.08267035383,8635.32569443437
